ele_load(kW),heat_load(kW),cool_load(kW),solarRadiation(W/m-2),windSpeed(m/s),temperature(C)
2318.2743,855.2708,307.703,0.0,6.27,2.29
2224.0525,815.4847,295.197,0.0,6.11,1.92
2125.8327,784.2741000000001,282.1604,0.0,5.35,1.41
2055.0504,765.1258,272.7655,0.0,4.79,0.76
1996.6195,759.1606999999999,265.01,0.0,5.32,0.42
1925.7587000000003,732.2178,255.6047,0.0,5.77,-0.13
1874.9598999999998,717.1392999999999,248.8622,0.0,5.56,-0.91
1759.5682000000002,678.9676000000001,233.5463,0.0,5.66,-1.56
1786.0734999999997,709.3732000000001,237.0643,0.0,5.66,-2.27
1843.3531,757.113,244.667,0.0,5.21,-3.16
1948.4407,804.6777000000001,258.6152,0.0,4.63,-4.04
2101.4161,870.2283,278.9196,0.0,4.0,-4.63
2255.154,931.3458999999999,299.32509999999996,0.0,3.51,-4.92
2399.9836999999998,993.8697,318.54830000000004,0.0,3.19,-4.92
2528.3899,1047.0447,335.5915,0.0,3.34,-4.15
2612.5196,1067.1267,346.75800000000004,8.93,4.46,-2.97
2654.5071999999996,1051.2894000000001,352.33099999999996,83.73,5.44,-1.6
2676.6977,1038.9099,355.2763,185.83,5.69,-0.35
2678.4952999999996,1027.5036,355.51489999999995,217.27,5.77,0.62
2658.0252,1004.6365999999999,352.7979,207.9,6.47,1.67
2621.7992,976.1347999999999,347.9897,194.96,6.11,2.33
2568.8206,950.6058,340.95779999999996,139.27,5.12,2.27
2493.0095,922.5515999999999,330.8955,72.32,3.98,1.07
2403.9552,886.8806999999999,319.0754,8.09,3.69,-0.64
2318.2743,860.5089,307.703,0.0,4.04,-0.41
2224.0525,817.9973,295.197,0.0,4.39,-0.17
2125.8327,772.2660000000001,282.1604,0.0,4.18,-0.31
2055.0504,730.3006999999999,272.7655,0.0,3.86,-0.41
1996.6195,702.7692,265.01,0.0,3.61,-0.59
1925.7587000000003,673.4765,255.6047,0.0,3.46,-0.73
1874.9598999999998,651.4747,248.8622,0.0,3.34,-0.91
2228.0138,769.1129,295.7228,0.0,3.11,-1.13
2043.7307999999998,703.1893000000001,271.263,0.0,2.91,-1.35
1859.4479000000001,639.7828,246.8033,0.0,2.64,-1.92
1761.539,604.105,233.80790000000002,0.0,2.68,-2.55
1663.6301,574.2869999999999,220.8125,0.0,2.65,-2.86
1565.7212,538.7198,207.81709999999998,0.0,2.47,-3.24
1602.5401000000002,553.1986,212.7041,0.0,2.3,-3.69
1639.3591000000001,567.7606,217.59099999999998,0.0,2.19,-4.23
1643.918,569.3396,218.19619999999998,7.6,2.1,-4.13
1648.4770999999998,569.0561,218.8013,63.16,2.79,-2.52
